metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
100202021021,1,21,Atlanta Summer,0,2020,210,1.23E-05,0.000275917,5.34E-06,7.19E-06,4.68E-06,6.63E-06,2.13E-06,5.11E-06,6.67E-06,0.770230556,9.91E-06,0.770411111,6.35E-06,,,,,,5.84E-06,7.36E-07,3.93E-06,,
101202021021,1,21,Atlanta Summer,1,2020,210,3.14E-06,5.19E-05,1.03E-05,1.84E-06,4.68E-06,6.20E-06,4.09E-06,1.31E-06,1.71E-06,0.721275,9.28E-06,0.721322222,5.48E-06,,,,,,5.04E-06,6.35E-07,3.39E-06,,
111202021021,1,21,Atlanta Summer,11,2020,210,9.70E-06,0.001658383,9.95E-06,5.67E-06,4.68E-06,9.49E-06,3.96E-06,4.03E-06,5.26E-06,1.103211111,1.42E-05,1.103352778,5.44E-06,,,,,,5.00E-06,6.30E-07,3.37E-06,,
112202021021,1,21,Atlanta Summer,12,2020,210,7.43E-06,0.002707444,1.52E-05,4.34E-06,4.68E-06,1.27E-05,6.04E-06,3.09E-06,4.03E-06,1.472369444,1.89E-05,1.472477778,5.72E-06,,,,,,5.26E-06,6.63E-07,3.54E-06,,
113202021021,1,21,Atlanta Summer,13,2020,210,1.40E-05,0.002496211,3.55E-05,8.21E-06,4.68E-06,1.69E-05,1.41E-05,5.83E-06,7.62E-06,1.968188889,2.53E-05,1.968394444,8.11E-06,,,,,,7.46E-06,9.40E-07,5.02E-06,,
114202021021,1,21,Atlanta Summer,14,2020,210,1.91E-05,0.003581611,6.28E-05,1.12E-05,4.68E-06,2.11E-05,2.50E-05,7.94E-06,1.04E-05,2.455311111,3.16E-05,2.455591667,8.04E-06,,,,,,7.40E-06,9.32E-07,4.98E-06,,
115202021021,1,21,Atlanta Summer,15,2020,210,2.66E-05,0.005193667,0.000111225,1.56E-05,4.68E-06,2.50E-05,4.43E-05,1.11E-05,1.44E-05,2.906694444,3.74E-05,2.907083333,7.73E-06,,,,,,7.12E-06,8.97E-07,4.79E-06,,
116202021021,1,21,Atlanta Summer,16,2020,210,4.25E-05,0.008763361,0.000231961,2.49E-05,4.68E-06,2.97E-05,9.23E-05,1.77E-05,2.31E-05,3.454888889,4.45E-05,3.4555,2.02E-05,,,,,,1.85E-05,2.34E-06,1.25E-05,,
121202021021,1,21,Atlanta Summer,21,2020,210,1.45E-05,0.002161492,1.97E-05,8.49E-06,4.68E-06,1.28E-05,7.83E-06,6.03E-06,7.87E-06,1.484269444,1.91E-05,1.484483333,1.04E-05,,,,,,9.55E-06,1.20E-06,6.43E-06,,
122202021021,1,21,Atlanta Summer,22,2020,210,1.33E-05,0.002863861,3.19E-05,7.79E-06,4.68E-06,1.40E-05,1.27E-05,5.54E-06,7.23E-06,1.622166667,2.09E-05,1.622361111,1.39E-05,,,,,,1.27E-05,1.61E-06,8.57E-06,,
