metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
100202221021,1,21,Atlanta Summer,0,2022,210,1.02E-05,0.000238031,3.53E-06,5.98E-06,4.68E-06,6.07E-06,1.41E-06,4.25E-06,5.55E-06,0.705480556,9.08E-06,0.705630556,5.23E-06,,,,,,4.81E-06,6.06E-07,3.24E-06,,
101202221021,1,21,Atlanta Summer,1,2022,210,2.61E-06,4.48E-05,6.79E-06,1.53E-06,4.68E-06,5.68E-06,2.70E-06,1.09E-06,1.42E-06,0.660641667,8.50E-06,0.660680556,4.51E-06,,,,,,4.15E-06,5.23E-07,2.79E-06,,
111202221021,1,21,Atlanta Summer,11,2022,210,8.06E-06,0.001430669,6.58E-06,4.71E-06,4.68E-06,8.69E-06,2.62E-06,3.35E-06,4.37E-06,1.010469444,1.30E-05,1.010588889,4.48E-06,,,,,,4.12E-06,5.19E-07,2.77E-06,,
112202221021,1,21,Atlanta Summer,12,2022,210,6.18E-06,0.002335681,1.00E-05,3.61E-06,4.68E-06,1.16E-05,4.00E-06,2.57E-06,3.35E-06,1.348594444,1.74E-05,1.348683333,4.71E-06,,,,,,4.34E-06,5.46E-07,2.92E-06,,
113202221021,1,21,Atlanta Summer,13,2022,210,1.17E-05,0.002153456,2.35E-05,6.83E-06,4.68E-06,1.55E-05,9.35E-06,4.85E-06,6.34E-06,1.802730556,2.32E-05,1.8029,6.68E-06,,,,,,6.14E-06,7.74E-07,4.13E-06,,
114202221021,1,21,Atlanta Summer,14,2022,210,1.59E-05,0.003089833,4.15E-05,9.29E-06,4.68E-06,1.93E-05,1.65E-05,6.60E-06,8.62E-06,2.2489,2.89E-05,2.249133333,6.62E-06,,,,,,6.09E-06,7.68E-07,4.10E-06,,
115202221021,1,21,Atlanta Summer,15,2022,210,2.21E-05,0.004480528,7.35E-05,1.29E-05,4.68E-06,2.29E-05,2.93E-05,9.20E-06,1.20E-05,2.662325,3.43E-05,2.66265,6.37E-06,,,,,,5.86E-06,7.39E-07,3.94E-06,,
116202221021,1,21,Atlanta Summer,16,2022,210,3.54E-05,0.007560028,0.000153363,2.07E-05,4.68E-06,2.72E-05,6.10E-05,1.47E-05,1.92E-05,3.164416667,4.07E-05,3.164944444,1.66E-05,,,,,,1.53E-05,1.92E-06,1.03E-05,,
121202221021,1,21,Atlanta Summer,21,2022,210,1.21E-05,0.001864697,1.30E-05,7.06E-06,4.68E-06,1.17E-05,5.18E-06,5.01E-06,6.55E-06,1.359491667,1.75E-05,1.359669444,8.55E-06,,,,,,7.87E-06,9.91E-07,5.29E-06,,
122202221021,1,21,Atlanta Summer,22,2022,210,1.11E-05,0.002470619,2.11E-05,6.48E-06,4.68E-06,1.28E-05,8.41E-06,4.61E-06,6.01E-06,1.485797222,1.91E-05,1.485958333,1.14E-05,,,,,,1.05E-05,1.32E-06,7.06E-06,,
