,metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
22,140202021032,1,32,Atlanta Summer,40,2020,210,0.000634067,0.057713889,0.006649306,0.000370675,1.59E-05,0.000149182,0.002646419,0.000263391,0.000343936,17.34394444,0.000222997,17.35322222,0.000139174,,,,,,0.00012804,1.30E-05,8.86E-05,,
23,1300202021032,1,32,Atlanta Summer,300,2020,210,0.000217778,0.001798003,0.001433175,0.000127313,1.59E-05,1.68E-05,0.000570403,9.05E-05,0.000118129,1.949413889,2.51E-05,1.957325,3.36E-05,,,,,,3.09E-05,2.82E-06,2.16E-05,,
24,1002020210032,1,32,Atlanta Summer,00,2020,2100,0.000205594,0.000852167,0.001130019,0.00012019,1.59E-05,1.54E-05,0.000449747,8.54E-05,0.00011152,1.793672222,2.31E-05,1.796675,4.05E-05,,,,,,3.73E-05,3.39E-06,2.61E-05,,
25,1012020210032,1,32,Atlanta Summer,01,2020,2100,0.000164901,0.000742525,0.0017826,9.64E-05,1.59E-05,1.26E-05,0.000709475,6.85E-05,8.94E-05,1.466030556,1.88E-05,1.468441667,4.39E-05,,,,,,4.03E-05,3.65E-06,2.82E-05,,
26,1112020210032,1,32,Atlanta Summer,11,2020,2100,0.000247479,0.002248883,0.000489117,0.000144676,1.59E-05,1.81E-05,0.000194668,0.000102803,0.00013424,2.104527778,2.71E-05,2.108144444,1.88E-05,,,,,,1.73E-05,1.61E-06,1.20E-05,,
27,1122020210032,1,32,Atlanta Summer,12,2020,2100,0.000284889,0.0032435,0.0013475,0.000166546,1.59E-05,2.25E-05,0.000536306,0.000118343,0.000154533,2.610941667,3.36E-05,2.615105556,2.44E-05,,,,,,2.25E-05,2.08E-06,1.57E-05,,
28,1132020210032,1,32,Atlanta Summer,13,2020,2100,0.000340581,0.003566722,0.001680669,0.000199103,1.59E-05,3.37E-05,0.000668906,0.000141477,0.000184741,3.920666667,5.04E-05,3.925638889,3.93E-05,,,,,,3.62E-05,3.32E-06,2.53E-05,,
29,1142020210032,1,32,Atlanta Summer,14,2020,2100,0.0003305,0.003885278,0.001962853,0.00019321,1.59E-05,4.45E-05,0.000781217,0.00013729,0.000179273,5.174583333,6.65E-05,5.179416667,5.22E-05,,,,,,4.81E-05,4.41E-06,3.36E-05,,
30,1152020210032,1,32,Atlanta Summer,15,2020,2100,0.00031875,0.004509417,0.002346694,0.000186341,1.59E-05,5.51E-05,0.000933983,0.000132409,0.000172899,6.4095,8.24E-05,6.414166667,6.58E-05,,,,,,6.05E-05,5.67E-06,4.22E-05,,
31,1162020210032,1,32,Atlanta Summer,16,2020,2100,0.000374836,0.006752083,0.004273889,0.00021913,1.59E-05,7.10E-05,0.001701003,0.000155707,0.000203323,8.258388889,0.000106181,8.263861111,0.000105581,,,,,,9.71E-05,9.45E-06,6.75E-05,,
32,1212020210032,1,32,Atlanta Summer,21,2020,2100,0.000301536,0.003004389,0.000256725,0.000176279,1.59E-05,2.35E-05,0.000102177,0.000125258,0.000163563,2.731183333,3.51E-05,2.735591667,1.19E-05,,,,,,1.09E-05,1.07E-06,7.58E-06,,
33,1222020210032,1,32,Atlanta Summer,22,2020,2100,0.000332239,0.003773194,0.001540389,0.000194228,1.59E-05,2.59E-05,0.000613075,0.000138013,0.000180217,3.010444444,3.87E-05,3.015305556,2.50E-05,,,,,,2.30E-05,2.15E-06,1.61E-05,,
34,1232020210032,1,32,Atlanta Summer,23,2020,2100,0.000378239,0.004819167,0.001811956,0.000221118,1.59E-05,3.43E-05,0.000721158,0.00015712,0.000205168,3.987,5.13E-05,3.992527778,3.00E-05,,,,,,2.76E-05,2.59E-06,1.93E-05,,
35,1242020210032,1,32,Atlanta Summer,24,2020,2100,0.000353853,0.005398278,0.002102983,0.000206862,1.59E-05,4.58E-05,0.000836989,0.00014699,0.00019194,5.323388889,6.84E-05,5.328583333,3.49E-05,,,,,,3.21E-05,2.99E-06,2.24E-05,,
36,1252020210032,1,32,Atlanta Summer,25,2020,2100,0.000317064,0.005426194,0.002420181,0.000185356,1.59E-05,5.83E-05,0.000963233,0.000131709,0.000171986,6.772916667,8.71E-05,6.777527778,4.61E-05,,,,,,4.24E-05,3.98E-06,2.96E-05,,
37,1272020210032,1,32,Atlanta Summer,27,2020,2100,0.000337167,0.006770111,0.002870639,0.000197107,1.59E-05,7.96E-05,0.001142519,0.000140059,0.000182888,9.257138889,0.000119022,9.262083333,5.59E-05,,,,,,5.14E-05,4.97E-06,3.58E-05,,
38,1282020210032,1,32,Atlanta Summer,28,2020,2100,0.000499456,0.021735556,0.00389075,0.000291983,1.59E-05,0.000104196,0.001548514,0.000207474,0.00027092,12.11383333,0.000155752,12.12113889,0.000124586,,,,,,0.000114618,1.25E-05,7.86E-05,,
39,1292020210032,1,32,Atlanta Summer,29,2020,2100,0.000662864,0.043710556,0.004929389,0.000387511,1.59E-05,0.00013977,0.001961894,0.000275354,0.000359558,16.24969444,0.000208928,16.25938889,0.000165151,,,,,,0.000151938,1.69E-05,0.000103976,,
