veh_type,speed_bin,elec_rate(kWh/mile)
52,5,1.570610677
52,11,1.714707379
52,16,1.57613669
52,21,1.4862260459999999
52,25,1.417261753
52,32,1.47980006
52,34,1.26624645
52,45,1.199440555
52,55,1.197030543
52,60,1.218466715
52,73,1.47413625
52,78,1.606941996
52,6,1.6146402248333334
52,7,1.6460899018571429
52,8,1.669677159625
52,9,1.6880228045555556
52,10,1.7026993205
52,12,1.6777551952666667
52,13,1.6464879628769231
52,14,1.6196874779714285
52,15,1.5964603910533333
52,17,1.5539234720705881
52,18,1.5341783894666665
52,19,1.5165117366105263
52,20,1.50061174904
52,22,1.4666339173068181
52,23,1.4487454519782608
52,24,1.43234769209375
52,26,1.4282574992857142
52,27,1.4384387458465608
52,28,1.447892760510204
52,29,1.4566947741625615
52,30,1.464909986904762
52,31,1.472595185921659
52,33,1.3697875942424242
52,35,1.2584379687662337
52,36,1.2510632920454545
52,37,1.2440872464987716
52,38,1.237478361244019
52,39,1.231208393181818
52,40,1.2252519235227273
52,41,1.2195860133592018
52,42,1.2141899084415584
52,43,1.2090447851479915
52,44,1.2041335310950414
52,46,1.1991524013913044
52,47,1.1988765096382978
52,48,1.198612113375
52,49,1.1983585087959183
52,50,1.1981150484
52,51,1.1978811354705883
52,52,1.1976562191923077
52,53,1.1974397903207545
52,54,1.1972313773333332
52,56,1.2016240084285714
52,57,1.206056299631579
52,58,1.2103357532068966
52,59,1.214470140559322
52,61,1.2420024981715005
52,62,1.2647790625310174
52,63,1.2868325613553113
52,64,1.308196888341346
52,65,1.3289038514201181
52,66,1.3489833307692307
52,67,1.368463422675086
52,68,1.3873705707013573
52,69,1.405729685451505
52,70,1.423564254065934
52,71,1.440896440465872
52,72,1.4577471772435897
52,74,1.5021331369945943
52,75,1.5293834403359998
52,76,1.555916630431579
52,77,1.5817606467584413
52,2,1.570610677
52,3,1.570610677
52,4,1.570610677
52,79,1.606941996
52,80,1.606941996
