,speed,acceleration,stp,BinNo
184,0.0,0.0,0.0,1
185,0.0,0.0,0.0,1
186,0.0,0.0,0.0,1
187,0.0,0.0,0.0,1
188,0.0,0.0,0.0,1
189,0.0,0.0,0.0,1
190,0.0,0.0,0.0,1
191,0.0,0.0,0.0,1
192,0.0,0.0,0.0,1
193,0.0,0.0,0.0,1
194,0.0,0.0,0.0,1
195,0.0,0.0,0.0,1
196,0.0,0.0,0.0,1
197,0.13,0.13,0.012503321432316554,1
198,0.71,0.58,0.13011268315145308,1
199,0.0,-0.71,0.0,1
200,0.0,0.0,0.0,1
201,0.0,0.0,0.0,1
202,0.0,0.0,0.0,1
203,4.15,4.15,3.6284122960274305,13
204,6.0,1.85,0.0,12
205,6.0,0.0,0.0,12
206,6.0,0.0,0.0,12
207,5.3,-0.7,0.0,12
208,4.14,-1.16,0.0,12
209,1.96,-2.18,0.0,0
210,0.0,-1.96,0.0,0
211,0.0,0.0,0.0,1
212,0.0,0.0,0.0,1
213,0.0,0.0,0.0,1
214,0.0,0.0,0.0,1
215,0.0,0.0,0.0,1
216,0.0,0.0,0.0,1
217,0.0,0.0,0.0,1
218,0.0,0.0,0.0,1
219,0.0,0.0,0.0,1
220,0.0,0.0,0.0,1
221,0.0,0.0,0.0,1
222,0.0,0.0,0.0,1
223,0.0,0.0,0.0,1
224,0.0,0.0,0.0,1
225,0.0,0.0,0.0,1
226,0.0,0.0,0.0,1
227,0.0,0.0,0.0,1
228,0.0,0.0,0.0,1
229,0.0,0.0,0.0,1
230,0.0,0.0,0.0,1
231,0.48,0.48,0.07867370616083082,1
232,1.64,1.16,0.0,12
233,0.41,-1.23,0.0,1
234,0.0,-0.41,0.0,1
235,0.0,0.0,0.0,1
236,0.0,0.0,0.0,1
237,0.0,0.0,0.0,1
238,0.0,0.0,0.0,1
239,0.0,0.0,0.0,1
240,0.0,0.0,0.0,1
241,0.0,0.0,0.0,1
242,0.0,0.0,0.0,1
243,0.0,0.0,0.0,1
244,0.0,0.0,0.0,1
245,0.0,0.0,0.0,1
246,0.0,0.0,0.0,1
247,0.0,0.0,0.0,1
248,0.0,0.0,0.0,1
249,0.0,0.0,0.0,1
250,0.0,0.0,0.0,1
251,0.0,0.0,0.0,1
252,0.0,0.0,0.0,1
253,0.0,0.0,0.0,1
254,0.0,0.0,0.0,1
255,0.0,0.0,0.0,1
256,0.0,0.0,0.0,1
257,0.0,0.0,0.0,1
258,0.0,0.0,0.0,1
259,0.0,0.0,0.0,1
260,0.0,0.0,0.0,1
261,0.0,0.0,0.0,1
262,0.0,0.0,0.0,1
263,0.0,0.0,0.0,1
264,0.0,0.0,0.0,1
265,0.0,0.0,0.0,1
266,0.0,0.0,0.0,1
267,0.0,0.0,0.0,1
268,0.0,0.0,0.0,1
269,0.0,0.0,0.0,1
270,0.0,0.0,0.0,1
271,0.0,0.0,0.0,1
272,0.0,0.0,0.0,1
273,0.0,0.0,0.0,1
274,0.0,0.0,0.0,1
275,0.0,0.0,0.0,1
276,0.0,0.0,0.0,1
277,0.0,0.0,0.0,1
278,0.0,0.0,0.0,1
279,0.0,0.0,0.0,1
280,0.0,0.0,0.0,1
281,0.0,0.0,0.0,1
282,0.0,0.0,0.0,1
283,0.0,0.0,0.0,1
284,0.0,0.0,0.0,1
285,0.0,0.0,0.0,1
286,0.0,0.0,0.0,1
287,0.0,0.0,0.0,1
288,0.0,0.0,0.0,1
289,0.0,0.0,0.0,1
290,0.0,0.0,0.0,1
291,0.0,0.0,0.0,1
292,0.0,0.0,0.0,1
293,0.0,0.0,0.0,1
294,0.0,0.0,0.0,1
295,0.0,0.0,0.0,1
296,0.0,0.0,0.0,1
297,0.0,0.0,0.0,1
298,0.0,0.0,0.0,1
299,0.0,0.0,0.0,1
300,0.24,0.24,0.028191272768885556,1
301,0.6,0.36,0.0844125860380862,1
302,0.0,-0.6,0.0,1
303,1.42,1.42,0.0,12
304,2.0,0.58,0.0,12
305,3.08,1.08,0.0,12
306,5.63,2.55,3.181004071962772,13
307,4.0,-1.63,0.0,12
308,4.0,0.0,0.0,12
309,3.34,-0.66,0.0,12
310,1.37,-1.97,0.0,12
311,1.0,-0.37,0.0,12
312,0.0,-1.0,0.0,1
313,0.0,0.0,0.0,1
314,0.0,0.0,0.0,1
315,0.0,0.0,0.8190419200777637,1
316,0.0,0.0,0.0,1
317,0.0,0.0,0.0,1
318,0.0,0.0,0.0,1
319,0.23,0.23,0.8454458193495377,1
320,1.39,1.16,0.0,12
321,2.0,0.61,1.1997039352302798,12
322,4.11,2.11,0.0,12
323,5.0,0.89,2.0654736843981407,12
324,6.02,1.02,2.4613716477778445,12
325,7.18,1.16,2.964715929098841,12
326,7.33,0.15,1.57176926639289,12
327,6.49,-0.84,1.57176926639289,12
328,7.0,0.51,2.014966641266576,12
329,7.0,0.0,0.0,12
330,7.0,0.0,1.3281493707881027,12
331,7.0,0.0,1.3229719595087732,12
332,7.0,0.0,0.0,12
333,7.43,0.43,1.9768795480452859,12
334,8.0,0.57,0.0,12
335,8.0,0.0,1.4190993767401383,12
336,7.09,-0.91,1.4190993767401383,12
337,11.06,3.97,10.137237927275942,15
338,12.89,1.83,6.345226901808317,14
339,14.49,1.6,6.392257053012121,14
340,11.46,-3.03,0.0,0
341,13.08,1.62,5.070849873660761,13
342,16.55,3.47,12.372049337619163,16
343,16.0,-0.55,0.0,12
344,15.34,-0.66,0.0,12
345,12.32,-3.02,0.0,0
346,13.0,0.68,2.6749262683806982,12
347,13.0,0.0,0.0,12
348,13.0,0.0,0.0,12
349,15.86,2.86,9.977687863743707,15
350,12.0,-3.86,0.0,0
351,11.73,-0.27,0.0,12
352,11.0,-0.73,0.0,12
353,11.0,0.0,0.0,12
354,11.0,0.0,0.0,12
355,11.9,0.9,2.949024943192135,12
356,12.89,0.99,3.424755703548687,13
357,10.36,-2.53,0.0,0
358,7.26,-3.1,0.0,0
359,4.95,-2.31,0.0,0
360,4.68,-0.27,0.0,12
361,6.68,2.0,0.0,12
362,8.0,1.32,0.0,12
363,7.84,-0.16,0.0,12
364,7.0,-0.84,0.0,12
365,6.53,-0.47,0.0,12
366,7.89,1.36,0.0,12
367,10.57,2.68,6.253873093560753,14
368,11.0,0.43,0.0,12
369,10.1,-0.9,0.0,12
370,10.74,0.64,2.9555374068178244,12
371,10.42,-0.32,0.9503865590405919,12
372,11.0,0.58,2.869666837586007,12
373,12.46,1.46,5.264839942183208,13
374,14.77,2.31,7.710931692461864,14
375,14.09,-0.68,7.710931692461864,14
376,16.2,2.11,7.8440376870212605,14
377,17.0,0.8,3.9309222354758746,13
378,17.0,0.0,0.0,12
379,17.0,0.0,2.1387416830800117,12
380,17.0,0.0,2.133442542845569,12
381,15.02,-1.98,2.133442542845569,12
382,15.71,0.69,4.109313585549567,13
383,14.0,-1.71,0.0,12
384,14.92,0.92,4.597767544436111,13
385,15.38,0.46,0.0,12
386,15.78,0.4,3.2694366963036545,13
387,16.0,0.22,2.742552767162986,12
388,16.0,0.0,2.0561071184493613,12
389,16.25,0.25,2.858225945558099,12
390,17.41,1.16,6.075341581056017,14
391,18.56,1.15,6.3948989893546875,14
392,19.0,0.44,3.917452446163111,13
393,19.88,0.88,4.944157773653936,13
394,21.0,1.12,6.215890778149925,14
395,21.0,0.0,2.485127843202002,12
396,21.0,0.0,0.0,12
397,20.49,-0.51,0.0,12
398,20.0,-0.49,0.0,12
399,19.18,-0.82,0.0,12
400,19.0,-0.18,1.641570611036594,12
401,18.86,-0.14,1.774464905357447,12
402,18.29,-0.57,0.0,12
403,19.0,0.71,4.08815888942413,13
404,19.61,0.61,0.5591655263548424,12
405,20.0,0.39,3.9479901598351814,13
406,20.0,0.0,2.433257577716694,12
407,20.0,0.0,2.4277629930796465,12
408,20.0,0.0,2.422313936487651,12
409,20.0,0.0,2.416910030696015,12
410,19.45,-0.55,2.416910030696015,12
411,20.42,0.97,6.2781696982246205,14
412,21.87,1.45,8.71562785832166,14
413,20.97,-0.9,8.71562785832166,14
414,20.37,-0.6,8.71562785832166,14
415,22.0,1.63,8.700528555287578,14
416,22.0,0.0,0.0,12
417,22.66,0.66,5.565438288309576,13
418,23.0,0.34,4.213569630378367,13
419,23.97,0.97,7.292916186478845,14
420,25.51,1.54,10.552507116949903,25
421,29.0,3.49,22.922682352043438,28
422,29.0,0.0,0.0,22
423,29.0,0.0,3.373510591186051,23
424,30.51,1.51,12.464419698223685,27
425,31.0,0.49,6.545008849216953,24
426,30.0,-1.0,6.545008849216953,24
427,30.0,0.0,3.471960475924206,23
428,30.0,0.0,3.466694743302528,23
429,30.54,0.54,6.718540999991632,24
430,31.0,0.46,6.338736229625371,24
431,31.86,0.86,8.170381424072403,24
432,31.0,-0.86,0.0,22
433,31.17,0.17,3.806664150140798,23
434,32.33,1.16,11.005173247106871,25
435,33.0,0.67,7.295298677429189,24
436,33.0,0.0,3.017319563497327,23
437,33.8,0.8,8.356182463412908,24
