,Acc,B_in_series,B_out_series,BinNo,Braking,Coasting,Cruise,EE A,EE GEN,EE RB1,EE RB2,Eng_Tract,Eng_series,Eng_tmp_series,Fuel flag,GEN flag1,GEN flag2,Idle,Jerk,New Bin,Old Bin,Power(kW),RB_Flag_series,SOC,SOC_hg_series,SOC_low_series,SOC_series,acceleration,dErr_series,new_bin_1,sigErr_series,speed,stp,New Bin_series,New Bin 1_series,Abs Trctv Pwr
0,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,60.0,False,False,60.0,0.0,0.0,-1,0.0,0.0,0.0,1,-1,0.0
1,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.99595776138516,False,False,59.991017247522585,0.0,0.00898275247741509,-1,0.00898275247741509,0.0,0.0,1,-1,0.0
2,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.99191552277031,False,False,59.982034495045156,0.0,0.008982752477429301,-1,0.01796550495484439,0.0,0.0,1,-1,0.0
3,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.98787328415547,False,False,59.97305174256774,0.0,0.00898275247741509,-1,0.02694825743225948,0.0,0.0,1,-1,0.0
4,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.983831045540626,False,False,59.96406899009031,0.0,0.008982752477429301,-1,0.03593100990968878,0.0,0.0,1,-1,0.0
5,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.97978880692578,False,False,59.955086237612896,0.0,0.00898275247741509,-1,0.04491376238710387,0.0,0.0,1,-1,0.0
6,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.97574656831094,False,False,59.946103485135474,0.0,0.008982752477422196,-1,0.05389651486452607,0.0,0.0,1,-1,0.0
7,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.971704329696095,False,False,59.937120732658045,0.0,0.008982752477429301,-1,0.06287926734195537,0.0,0.0,1,-1,0.0
8,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.96766209108125,False,False,59.92813798018063,0.0,0.00898275247741509,-1,0.07186201981937046,0.0,0.0,1,-1,0.0
9,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.96361985246641,False,False,59.9191552277032,0.0,0.008982752477429301,-1,0.08084477229679976,0.0,0.0,1,-1,0.0
10,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.959577613851565,False,False,59.910172475225785,0.0,0.00898275247741509,-1,0.08982752477421485,0.0,0.0,1,-1,0.0
11,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.95553537523672,False,False,59.90118972274836,0.0,0.008982752477422196,-1,0.09881027725163705,0.0,0.0,1,-1,0.0
12,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.95149313662188,False,False,59.89220697027095,0.0,0.00898275247741509,-1,0.10779302972905214,0.0,0.0,1,-1,0.0
13,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.947450898007034,False,False,59.88322421779352,0.0,0.008982752477429301,-1,0.11677578220648144,0.0,0.0,1,-1,0.0
14,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.94340865939219,False,False,59.8742414653161,0.0,0.00898275247741509,-1,0.12575853468389653,0.0,0.0,1,-1,0.0
15,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.93936642077735,False,False,59.865258712838674,0.0,0.008982752477429301,-1,0.13474128716132583,0.0,0.0,1,-1,0.0
16,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.9353241821625,False,False,59.85627596036126,0.0,0.00898275247741509,-1,0.14372403963874092,0.0,0.0,1,-1,0.0
17,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.93128194354766,False,False,59.84729320788384,0.0,0.008982752477422196,-1,0.15270679211616311,0.0,0.0,1,-1,0.0
18,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.927239704932816,False,False,59.838310455406415,0.0,0.008982752477422196,-1,0.1616895445935853,0.0,0.0,1,-1,0.0
19,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.92319746631797,False,False,59.82932770292899,0.0,0.008982752477422196,-1,0.1706722970710075,0.0,0.0,1,-1,0.0
20,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.91915522770313,False,False,59.82034495045156,0.0,0.008982752477429301,-1,0.1796550495484368,0.0,0.0,1,-1,0.0
21,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.915112989088286,False,False,59.81136219797415,0.0,0.00898275247741509,-1,0.1886378020258519,0.0,0.0,1,-1,0.0
22,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.91107075047344,False,False,59.802379445496726,0.0,0.008982752477422196,-1,0.1976205545032741,0.0,0.0,1,-1,0.0
23,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.9070285118586,False,False,59.793396693019304,0.0,0.008982752477422196,-1,0.2066033069806963,0.0,0.0,1,-1,0.0
24,0.0,0.0,5.691471969696968,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0.0,1,1,0.0,False,59.902986273243755,False,False,59.78441394054188,0.0,0.008982752477422196,-1,0.21558605945811848,0.0,0.0,1,-1,0.0
25,0.19,0.0,6.157928479587164,1,False,False,False,0.0,0.0,0.0,0.0,0.35020621849536104,0.0,0.0,True,False,False,True,0.19,1,1,0.35020621849536104,False,59.89894403462891,False,False,59.774694987764754,0.19,0.009718952777127754,1,0.22530501223524624,0.19,0.020479895818442166,1,-1,0.35020621849536104
26,0.81,46.17,10.879196517806076,12,False,False,True,3.8948398362293557,0.0,0.0,0.0,0.0,51.300000000000004,51.300000000000004,False,False,False,False,0.6200000000000001,12,12,3.8948398362293557,False,59.88670558423749,False,False,59.83039385689701,0.81,-0.0556988691322573,-1,0.16960614310298894,1.0,0.2277684114754009,12,12,3.8948398362293557
27,0.51,46.17,11.52943475286798,12,False,False,True,4.383025698349132,0.0,0.0,0.0,0.0,51.300000000000004,51.300000000000004,False,False,False,False,-0.30000000000000004,12,12,4.383025698349132,False,59.873439806695146,False,False,59.88506646618856,0.51,-0.0546726092915506,-1,0.11493353381143834,1.51,0.2563172923011188,12,12,4.383025698349132
28,1.1500000000000001,46.17,23.483318958920762,12,False,False,False,13.35776288256944,0.0,0.0,0.0,0.0,51.300000000000004,51.300000000000004,False,False,False,False,0.6400000000000001,12,12,13.35776288256944,False,59.841287797704524,False,False,59.92087246530643,1.15,-0.03580599911786919,-1,0.07912753469356915,2.66,0.7811557241268678,12,12,13.35776288256944
29,1.9799999999999995,46.17,53.727359028790254,12,False,False,False,36.064383286226054,0.0,0.0,0.0,0.0,51.300000000000004,51.300000000000004,False,False,False,False,0.8299999999999994,12,12,36.064383286226054,False,59.76135249661867,False,False,59.908944815324126,1.98,0.011927649982304445,-1,0.09105518467587359,4.64,2.1090282623524006,12,12,36.064383286226054
30,2.3200000000000003,92.34,88.25374286084093,13,False,False,False,56.25,0.0,0.0,0.0,5.736101739653073,102.60000000000001,102.60000000000001,True,False,False,False,0.34000000000000075,12,13,61.98610173965307,False,59.638939045882616,False,False,59.9153940847988,2.32,-0.006449269474671837,12,0.08460591520120175,6.96,3.6249182303890684,13,13,61.98610173965307
31,1.8999999999999995,92.34,94.50700366638475,13,False,False,False,56.25,0.0,0.0,0.0,10.430924887239257,102.60000000000001,102.60000000000001,True,False,False,False,-0.4200000000000008,12,13,66.68092488723926,False,59.51652559514656,False,False,59.91197394012332,1.9,0.0034201446754806852,12,0.08802605987668244,8.86,3.8994692916514184,13,13,66.68092488723926
32,-1.1499999999999995,0.0,5.691471969696968,11,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-3.049999999999999,12,11,-19.82482831749314,False,59.51248335653172,False,False,59.902991187645895,-1.15,0.008982752477422196,-1,0.09700881235410463,7.71,-1.1593466852335168,1,-1,19.82482831749314
33,-0.2599999999999998,46.17,9.383717849820727,12,False,False,True,2.7720643618793157,0.0,0.0,0.0,0.0,51.300000000000004,51.300000000000004,False,False,False,False,0.0,12,12,2.7720643618793157,False,59.50260764914188,False,False,59.96105034507989,-0.26,-0.05805915743399481,-1,0.03894965492010982,7.45,0.1621090270104863,12,12,2.7720643618793157
34,1.7700000000000005,92.34,92.85926383124827,13,False,False,False,56.25,0.0,0.0,0.0,9.193834773815496,102.60000000000001,102.60000000000001,True,False,False,False,0.0,12,13,65.4438347738155,False,59.380194198405825,False,False,59.960230799891676,1.77,0.0008195451882144766,12,0.0397692001083243,9.22,3.827124840574005,13,13,65.4438347738155
35,0.7799999999999994,46.17,56.669210759140235,12,False,False,True,0.0,0.0,0.0,0.0,38.273066728338215,51.300000000000004,51.300000000000004,True,False,False,False,-0.9900000000000011,12,12,38.273066728338215,False,59.37615195979098,False,False,59.94366007584001,0.78,0.01657072405166815,12,0.05633992415999245,10.0,2.2381910367449245,12,12,38.273066728338215
36,-0.9199999999999999,0.0,5.691471969696968,11,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-1.6999999999999993,12,11,-16.370888828022586,False,59.37210972117614,False,False,59.934677323362585,-0.92,0.008982752477422196,-1,0.06532267663741465,9.08,-0.9573619197674026,1,-1,16.370888828022586
37,1.0,46.17,66.85668867609077,12,False,False,True,0.0,0.0,0.0,0.0,45.92162139882634,51.300000000000004,51.300000000000004,True,False,False,False,0.0,12,12,45.92162139882634,False,59.368067482561294,False,False,59.90202787785107,1.0,0.03264944551151672,12,0.09797212214893136,10.08,2.6854749356038794,12,12,45.92162139882634
38,1.1600000000000001,92.34,81.93956465244281,13,False,False,False,0.0,0.0,0.0,0.0,57.245543024351925,102.60000000000001,102.60000000000001,True,False,False,False,0.16000000000000014,13,13,57.245543024351925,False,59.36402524394645,False,False,59.91844270636679,1.16,-0.01641482851572107,13,0.08155729363321029,11.24,3.347692574523504,13,13,57.245543024351925
39,1.549999999999999,92.34,114.63960401142292,13,False,False,False,0.0,0.0,0.0,0.0,81.79607857428701,102.60000000000001,102.60000000000001,True,False,False,False,0.3899999999999988,13,13,81.79607857428701,False,59.35998300533161,False,False,59.88324762427805,1.55,0.035195082088741,13,0.1167523757219513,12.79,4.783396407853041,13,13,81.79607857428701
40,1.2100000000000009,92.34,104.1635149156043,13,False,False,False,0.0,0.0,0.0,0.0,73.93084040292831,102.60000000000001,102.60000000000001,True,False,False,False,-0.3399999999999981,13,13,73.93084040292831,False,59.35594076671676,False,False,59.8645867737168,1.21,0.01866085056124689,13,0.13541322628319818,14.0,4.323440959235573,13,13,73.93084040292831
41,-1.42,0.0,5.691471969696968,11,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-2.630000000000001,12,11,-43.18681537633596,False,59.35189852810192,False,False,59.85560402123937,-1.42,0.008982752477429301,-1,0.14439597876062749,12.58,-2.5255447588500557,1,-1,43.18681537633596
