metbinyearfuelroadsource,CycleBinCounts,Fraction,STPOMBin,CycleObservedWork,Meteo ID,SourceTypeID, Location-season,opModeBin,year,FuelId, RoadTypeId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117,EnergyConsumptionRate,CycleEnergyConsumption,RouteEnergyConsumption
1020112542,0.0,0.0,0,0.0,1,42,Atlanta Summer,0,2011,2,5,0.000477368682303572,0.000622513742107725,0.00200550361679157,0.000230295345251458,2.29966437392351e-05,3.7046980016587e-05,0.00079819194826605,0.000247072180142519,0.000252505226919512,5.4136766560871905,6.997084089865279e-05,5.42563802083333,4.42490338051956e-05,3.79983911039344e-05,3.5798854827994203e-06,2.67083889209767e-06,0.0022283312181631603,0.0,4.29233835347994e-05,3.47258348382537e-06,2.59139825680501e-06,0.000583334213329689,0.0,73.82620962343202,0.0,0.0
1120112142,0.0,0.0,1,0.0,1,42,Atlanta Summer,1,2011,2,1,0.014734666368652496,0.0252808111124775,0.0467893802891361,0.0,1.40583297858636e-06,0.0,0.0,6.6634312841214e-07,6.6634312841214e-07,1.30501631944444,0.0,0.00043580810228983295,0.00010093297725284699,9.22425663641972e-05,8.69034970593111e-06,0.0,0.0,0.0,9.790716660467779e-05,8.42985709217222e-06,0.0,0.0,0.0,0.0,0.0,0.0
11120112542,0.0,0.0,11,0.0,1,42,Atlanta Summer,11,2011,2,5,0.0008290998548060579,0.00175251947182004,0.00267695465995757,0.00045293912399858096,2.29966437392351e-05,2.41188744126298e-05,0.0010654272134031102,0.000376162291316464,0.000386847682590706,3.5244986640082594,4.55532010851631e-05,3.5411319478352996,4.90079303078047e-05,4.3199360415101895e-05,4.06987219093939e-06,1.73880961054035e-06,0.0022283312181631603,0.0,4.75393458954303e-05,3.94787370977494e-06,1.68708919343568e-06,0.000583334213329689,0.0,48.0631664439001,0.0,0.0
11220112542,114.0,10.754716981132075,12,0.7254724726083339,1,42,Atlanta Summer,12,2011,2,5,0.0009523594424980641,0.00206964018377321,0.00544628571737683,0.00046734846255073906,2.29966437392351e-05,6.79063478593067e-05,0.00216762637674642,0.000485011330104817,0.0004960367475460941,9.923139377170141,0.000128254540678528,9.94007439507369,0.000104628440377482,9.11459941643333e-05,8.58699473004281e-06,4.8955746110046406e-06,0.0,0.0,0.000101493341955778,8.3296112133112e-06,4.74996501048333e-06,0.0,0.0,135.32132076280797,4.2851751574889185,7.718231797134829
11320112542,43.0,4.056603773584905,13,0.8571809958251074,1,42,Atlanta Summer,13,2011,2,5,0.00121115389803081,0.0029796601709697,0.00892203021770811,0.0005503383684825,2.29966437392351e-05,0.00011978379205781101,0.00355096600664892,0.000660811601804503,0.000673794784064133,17.504065890842202,0.00022623609337541698,17.522742106119995,0.00023072024744275697,0.000202963267212099,1.91214683925662e-05,8.635625691163609e-06,0.0,0.0,0.00022380649872098197,1.8548343885211498e-05,8.37877074092031e-06,0.0,0.0,238.70162255319494,2.851158269385384,5.13535610673368
11420112542,18.0,1.6981132075471699,14,0.6304662512712162,1,42,Atlanta Summer,14,2011,2,5,0.0014249805517829199,0.003556310933998041,0.0122745668703324,0.000605749125708025,2.29966437392351e-05,0.00017264558403338998,0.00488527084580564,0.000819231451035508,0.0008335203762443639,25.2287756347658,0.000326076207889452,25.248613823784698,0.000275004480758475,0.0002399519280233,2.26062401654621e-05,1.24465815527704e-05,0.0,0.0,0.000266764448897447,2.19286524386713e-05,1.20763847745468e-05,0.0,0.0,344.0428922631967,1.7202144613159835,3.0983596854884263
11520112542,15.0,1.4150943396226416,15,0.8079425062543555,1,42,Atlanta Summer,15,2011,2,5,0.0013694047177301102,0.003919108366592249,0.0148131902574276,0.00051512326934445,2.29966437392351e-05,0.000216803094970399,0.005895625908469921,0.0008542807196681689,0.000866432710988903,31.6815190972222,0.000409476798441678,31.69945827907989,0.000415505586780556,0.00036544466716199696,3.4429231272952e-05,1.56300414336228e-05,0.0,0.0,0.00040305334649424704,3.33972365660884e-05,1.51651790141233e-05,0.0,0.0,432.03882602287246,1.8001617750953018,3.2423565763106534
11620112542,0.0,0.0,16,0.0,1,42,Atlanta Summer,16,2011,2,5,0.00158021897058563,0.0046610280531685,0.0148131902574276,0.000537223058407931,2.29966437392351e-05,0.000293627054666609,0.005895625908469921,0.0010429932470449599,0.00105566828257601,42.9077652994792,0.000554572364522367,42.9261664496528,0.00042104404051013103,0.00036544466716199696,3.4429231272952e-05,2.11685303970122e-05,0.0,0.0,0.000408427115487733,3.33972365660884e-05,2.05389142977059e-05,0.0,0.0,585.1291067645137,0.0,0.0
12120112542,0.0,0.0,21,0.0,1,42,Atlanta Summer,21,2011,2,5,0.000749689997784719,0.0016379989949276,0.0026411482913033303,0.00041293314700396893,2.29966390179469e-05,1.92439025852313e-05,0.0010511769509733298,0.000336756813055677,0.000346498026639594,2.81211916605635,3.63460446048219e-05,2.8279126485188506,6.50403821964573e-05,5.81724811657594e-05,5.48053688002406e-06,1.38735221118698e-06,0.0014283602746824,0.0,6.309116918146149e-05,5.31626257801083e-06,1.3460887397324e-06,0.000373915769159792,0.0,38.348698879647955,0.0,0.0
12220112542,26.0,2.4528301886792456,22,0.2491956585806302,1,42,Atlanta Summer,22,2011,2,5,0.0011172967728422898,0.0037470556913680197,0.00624510718151323,0.0005402212732785,2.29966390179469e-05,8.579357919795e-05,0.00248555594667719,0.000577075460739708,0.000589819737759479,12.537073771159402,0.00016203870958028102,12.555539449056301,0.00018720060870691698,0.00016543032931318799,1.55853876814646e-05,6.1851399285236394e-06,0.0,0.0,0.000181590514178729,1.5118306047648999e-05,6.00116734024896e-06,0.0,0.0,170.96698548915933,1.2347615618661507,2.2239874913910875
