,Acc,BinNo,Braking,Coasting,Cruise,EE A,EE GEN,EE RB1,EE RB2,Eng_Tract,Fuel flag,GEN flag1,GEN flag2,Idle,Jerk,Old Bin,Power(kW),SOC,acceleration,speed,stp
34,1.7700000000000005,13,False,False,False,56.25,0.0,0.0,0.0,9.193834773815496,True,False,False,False,0.0,13,65.4438347738155,59.380194198405825,1.77,9.22,3.827124840574005
35,0.7799999999999994,12,False,False,True,0.0,0.0,0.0,0.0,38.273066728338215,True,False,False,False,-0.9900000000000011,12,38.273066728338215,59.37615195979098,0.78,10.0,2.2381910367449245
36,-0.9199999999999999,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-1.6999999999999993,11,-16.370888828022586,59.37210972117614,-0.92,9.08,-0.9573619197674026
37,1.0,12,False,False,True,0.0,0.0,0.0,0.0,45.92162139882634,True,False,False,False,0.0,12,45.92162139882634,59.368067482561294,1.0,10.08,2.6854749356038794
38,1.1600000000000001,13,False,False,False,0.0,0.0,0.0,0.0,57.245543024351925,True,False,False,False,0.16000000000000014,13,57.245543024351925,59.36402524394645,1.16,11.24,3.347692574523504
39,1.549999999999999,13,False,False,False,0.0,0.0,0.0,0.0,81.79607857428701,True,False,False,False,0.3899999999999988,13,81.79607857428701,59.35998300533161,1.55,12.79,4.783396407853041
40,1.2100000000000009,13,False,False,False,0.0,0.0,0.0,0.0,73.93084040292831,True,False,False,False,-0.3399999999999981,13,73.93084040292831,59.35594076671676,1.21,14.0,4.323440959235573
41,-1.42,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-2.630000000000001,11,-43.18681537633596,59.35189852810192,-1.42,12.58,-2.5255447588500557
42,0.28999999999999915,12,False,False,True,28.663033058602597,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,28.663033058602597,59.28753845897655,0.29,12.87,1.6762007636609704
43,0.13000000000000078,12,False,False,True,22.08465319361213,0.0,0.0,0.0,0.0,False,False,False,False,-0.15999999999999837,12,22.08465319361213,59.23702178182296,0.13,13.0,1.2915001867609432
44,0.0,12,False,False,True,16.49309650371982,0.0,0.0,0.0,0.0,False,False,False,False,-0.13000000000000078,12,16.49309650371982,59.19827184854541,0.0,13.0,0.9645085674689953
45,0.6799999999999997,12,False,False,True,0.0,0.0,0.0,0.0,48.21339143770137,True,False,False,False,0.6799999999999997,12,48.21339143770137,59.19422960993057,0.68,13.68,2.819496575304173
46,1.3200000000000003,13,False,False,False,0.0,0.0,0.0,0.0,84.81022564938635,True,False,False,False,0.6400000000000006,13,84.81022564938635,59.19018737131572,1.32,15.0,4.959662318677564
47,0.0,12,False,False,True,19.29967981514613,0.0,0.0,0.0,0.0,False,False,False,False,-1.3200000000000003,12,19.29967981514613,59.14553132837608,0.0,15.0,1.1286362464997737
48,-1.6300000000000008,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-1.6300000000000008,11,-55.10062431760231,59.14148908976124,-1.63,13.37,-3.2222587320235268
49,-1.2899999999999991,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,11,-36.32221266562518,59.13744685114639,-1.29,12.08,-2.1241060038377295
50,0.17999999999999972,12,False,False,True,22.782268065711975,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,22.782268065711975,59.08546212922828,0.18,12.26,1.3322963781118113
51,2.0299999999999994,14,False,False,False,0.0,0.0,0.0,0.0,114.26950463830191,True,False,False,False,1.8499999999999996,14,114.26950463830191,59.08141989061344,2.03,14.29,6.68242717183052
52,0.27000000000000135,12,False,False,True,31.679691018574523,0.0,0.0,0.0,0.0,False,False,False,False,-1.759999999999998,12,31.679691018574523,59.01071163554537,0.27,14.56,1.852613509858159
53,0.6399999999999988,13,False,False,True,0.0,0.0,0.0,0.0,51.77262080010336,True,False,False,False,0.36999999999999744,13,51.77262080010336,59.006669396930526,0.64,15.2,3.027638643280898
54,1.5600000000000023,14,False,False,False,0.0,0.0,0.0,0.0,108.3700768819134,True,False,False,False,0.9200000000000035,14,108.3700768819134,59.00262715831568,1.56,16.76,6.337431396603122
55,0.23999999999999844,12,False,False,True,35.72077041138648,0.0,0.0,0.0,0.0,False,False,False,False,-1.3200000000000038,12,35.72077041138648,58.92341494829641,0.24,17.0,2.088933942186344
