,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.19
26,0.81
27,0.51
28,1.1500000000000001
29,1.9799999999999995
30,2.3200000000000003
31,1.8999999999999995
32,-1.1499999999999995
33,-0.2599999999999998
34,1.7700000000000005
35,0.7799999999999994
36,-0.9199999999999999
37,1.0
38,1.1600000000000001
39,1.549999999999999
40,1.2100000000000009
41,-1.42
42,0.28999999999999915
43,0.13000000000000078
44,0.0
45,0.6799999999999997
46,1.3200000000000003
47,0.0
48,-1.6300000000000008
49,-1.2899999999999991
50,0.17999999999999972
51,2.0299999999999994
52,0.27000000000000135
53,0.6399999999999988
54,1.5600000000000023
55,0.23999999999999844
56,0.0
57,0.23000000000000043
58,1.5399999999999991
59,1.7699999999999996
60,-0.9399999999999977
61,-1.4600000000000009
62,-0.16000000000000014
63,-0.9800000000000004
64,-0.6600000000000001
65,-1.3399999999999999
66,0.0
67,0.0
68,0.9600000000000009
69,-3.610000000000001
70,2.9299999999999997
71,-1.0099999999999998
72,-1.6799999999999997
73,-0.33999999999999986
74,-2.9700000000000006
75,-1.2799999999999994
76,0.0
77,0.3800000000000008
78,1.1499999999999986
79,1.1600000000000001
80,0.3100000000000005
81,-2.0
82,0.0
83,0.3200000000000003
84,0.6799999999999997
85,-0.6400000000000006
86,-0.35999999999999943
87,0.9499999999999993
88,4.380000000000001
89,3.200000000000001
90,1.8900000000000006
91,0.5799999999999983
92,0.7399999999999984
93,0.26000000000000156
94,0.10999999999999943
95,2.7300000000000004
96,3.16
97,0.0
98,2.0500000000000007
99,3.4700000000000024
100,-1.5100000000000016
101,-0.010000000000001563
102,0.620000000000001
103,1.379999999999999
104,-0.6300000000000026
105,-1.9399999999999977
106,-0.4299999999999997
107,0.0
108,0.5100000000000016
109,1.899999999999995
110,0.5900000000000034
111,-0.7299999999999969
112,-0.2700000000000031
113,-0.9600000000000009
114,1.1600000000000037
115,1.1599999999999966
116,0.6400000000000006
117,0.0
118,0.0
119,-0.990000000000002
120,-1.1499999999999986
121,-1.759999999999998
122,-3.9299999999999997
123,-2.780000000000001
124,-1.9299999999999997
125,-4.18
126,-1.450000000000001
127,-2.0700000000000003
128,-1.1600000000000001
129,-2.2699999999999996
130,-2.0500000000000007
131,-2.8999999999999995
132,-2.4699999999999998
133,-2.91
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.51
175,-0.18
176,-0.33
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.13
198,0.58
199,-0.71
200,0.0
201,0.0
202,0.0
203,4.15
204,1.8499999999999996
205,0.0
206,0.0
207,-0.7000000000000002
208,-1.1600000000000001
209,-2.1799999999999997
210,-1.96
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.48
232,1.16
233,-1.23
234,-0.41
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.24
301,0.36
302,-0.6
303,1.42
304,0.5800000000000001
305,1.08
306,2.55
307,-1.63
308,0.0
309,-0.6600000000000001
310,-1.9699999999999998
311,-0.3700000000000001
312,-1.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.23
320,1.16
321,0.6100000000000001
322,2.1100000000000003
323,0.8899999999999997
324,1.0199999999999996
325,1.1600000000000001
326,0.15000000000000036
327,-0.8399999999999999
328,0.5099999999999998
329,0.0
330,0.0
331,0.0
332,0.0
333,0.4299999999999997
334,0.5700000000000003
335,0.0
336,-0.9100000000000001
337,3.9700000000000006
338,1.83
339,1.5999999999999996
340,-3.0299999999999994
341,1.6199999999999992
342,3.4700000000000006
343,-0.5500000000000007
344,-0.6600000000000001
345,-3.0199999999999996
346,0.6799999999999997
347,0.0
348,0.0
349,2.8599999999999994
350,-3.8599999999999994
351,-0.2699999999999996
352,-0.7300000000000004
353,0.0
354,0.0
355,0.9000000000000004
356,0.9900000000000002
357,-2.530000000000001
358,-3.0999999999999996
359,-2.3099999999999996
360,-0.27000000000000046
361,2.0
362,1.3200000000000003
363,-0.16000000000000014
364,-0.8399999999999999
365,-0.46999999999999975
366,1.3599999999999994
367,2.6800000000000006
368,0.4299999999999997
369,-0.9000000000000004
370,0.6400000000000006
371,-0.3200000000000003
372,0.5800000000000001
373,1.4600000000000009
374,2.3099999999999987
375,-0.6799999999999997
376,2.1099999999999994
377,0.8000000000000007
378,0.0
379,0.0
380,0.0
381,-1.9800000000000004
382,0.6900000000000013
383,-1.7100000000000009
384,0.9199999999999999
385,0.46000000000000085
386,0.3999999999999986
387,0.22000000000000064
388,0.0
389,0.25
390,1.1600000000000001
391,1.1499999999999986
392,0.4400000000000013
393,0.879999999999999
394,1.120000000000001
395,0.0
396,0.0
397,-0.5100000000000016
398,-0.48999999999999844
399,-0.8200000000000003
400,-0.17999999999999972
401,-0.14000000000000057
402,-0.5700000000000003
403,0.7100000000000009
404,0.6099999999999994
405,0.39000000000000057
406,0.0
407,0.0
408,0.0
409,0.0
410,-0.5500000000000007
411,0.9700000000000024
412,1.4499999999999993
413,-0.9000000000000021
414,-0.5999999999999979
415,1.629999999999999
416,0.0
417,0.6600000000000001
