metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
100202421021,1,21,Atlanta Summer,0,2024,210,8.31E-06,0.000202857,1.85E-06,4.86E-06,4.68E-06,5.56E-06,7.37E-07,3.45E-06,4.51E-06,0.646586111,8.32E-06,0.646708333,5.23E-06,,,,,,4.81E-06,6.06E-07,3.24E-06,,
101202421021,1,21,Atlanta Summer,1,2024,210,2.12E-06,3.82E-05,3.56E-06,1.24E-06,4.68E-06,5.21E-06,1.42E-06,8.82E-07,1.15E-06,0.605488889,7.79E-06,0.605519444,4.51E-06,,,,,,4.15E-06,5.23E-07,2.79E-06,,
111202421021,1,21,Atlanta Summer,11,2024,210,6.55E-06,0.001219258,3.45E-06,3.83E-06,4.68E-06,7.97E-06,1.37E-06,2.72E-06,3.55E-06,0.926113889,1.19E-05,0.926208333,4.48E-06,,,,,,4.12E-06,5.19E-07,2.77E-06,,
112202421021,1,21,Atlanta Summer,12,2024,210,5.02E-06,0.001990539,5.26E-06,2.93E-06,4.68E-06,1.06E-05,2.09E-06,2.08E-06,2.72E-06,1.236011111,1.59E-05,1.236083333,4.71E-06,,,,,,4.34E-06,5.46E-07,2.92E-06,,
113202421021,1,21,Atlanta Summer,13,2024,210,9.48E-06,0.001835239,1.23E-05,5.54E-06,4.68E-06,1.42E-05,4.90E-06,3.94E-06,5.14E-06,1.652236111,2.13E-05,1.652375,6.68E-06,,,,,,6.14E-06,7.74E-07,4.13E-06,,
114202421021,1,21,Atlanta Summer,14,2024,210,1.29E-05,0.002633239,2.17E-05,7.54E-06,4.68E-06,1.77E-05,8.66E-06,5.36E-06,7.00E-06,2.061158333,2.65E-05,2.061347222,6.62E-06,,,,,,6.09E-06,7.68E-07,4.10E-06,,
115202421021,1,21,Atlanta Summer,15,2024,210,1.80E-05,0.003818417,3.85E-05,1.05E-05,4.68E-06,2.10E-05,1.53E-05,7.47E-06,9.75E-06,2.440077778,3.14E-05,2.440341667,6.37E-06,,,,,,5.86E-06,7.39E-07,3.94E-06,,
116202421021,1,21,Atlanta Summer,16,2024,210,2.87E-05,0.006442889,8.04E-05,1.68E-05,4.68E-06,2.49E-05,3.20E-05,1.19E-05,1.56E-05,2.90025,3.73E-05,2.900694444,1.66E-05,,,,,,1.53E-05,1.92E-06,1.03E-05,,
121202421021,1,21,Atlanta Summer,21,2024,210,9.80E-06,0.001589153,6.82E-06,5.73E-06,4.68E-06,1.07E-05,2.71E-06,4.07E-06,5.32E-06,1.246,1.60E-05,1.246141667,8.55E-06,,,,,,7.87E-06,9.91E-07,5.29E-06,,
122202421021,1,21,Atlanta Summer,22,2024,210,9.00E-06,0.002105533,1.11E-05,5.26E-06,4.68E-06,1.17E-05,4.41E-06,3.74E-06,4.88E-06,1.361761111,1.75E-05,1.361891667,1.14E-05,,,,,,1.05E-05,1.32E-06,7.06E-06,,
123202421021,1,21,Atlanta Summer,23,2024,210,9.70E-06,0.002707792,1.67E-05,5.67E-06,4.68E-06,1.40E-05,6.66E-06,4.03E-06,5.26E-06,1.623222222,2.09E-05,1.623363889,8.24E-06,,,,,,7.58E-06,9.55E-07,5.10E-06,,
124202421021,1,21,Atlanta Summer,24,2024,210,1.85E-05,0.003958306,2.82E-05,1.08E-05,4.68E-06,1.77E-05,1.12E-05,7.69E-06,1.00E-05,2.057805556,2.65E-05,2.058077778,9.07E-06,,,,,,8.35E-06,1.05E-06,5.61E-06,,
125202421021,1,21,Atlanta Summer,25,2024,210,1.84E-05,0.004492306,3.96E-05,1.08E-05,4.68E-06,2.35E-05,1.57E-05,7.66E-06,1.00E-05,2.730330556,3.51E-05,2.7306,1.13E-05,,,,,,1.04E-05,1.31E-06,6.98E-06,,
127202421021,1,21,Atlanta Summer,27,2024,210,2.92E-05,0.006746472,6.23E-05,1.70E-05,4.68E-06,3.04E-05,2.48E-05,1.21E-05,1.58E-05,3.531888889,4.54E-05,3.532305556,1.81E-05,,,,,,1.67E-05,2.10E-06,1.12E-05,,
128202421021,1,21,Atlanta Summer,28,2024,210,0.000197958,0.030720278,0.000943117,0.000115726,4.68E-06,4.09E-05,0.000375361,8.22E-05,0.000107378,4.760722222,6.13E-05,4.763611111,3.96E-05,,,,,,3.64E-05,4.59E-06,2.45E-05,,
129202421021,1,21,Atlanta Summer,29,2024,210,0.000351458,0.065060833,0.001655861,0.000205463,4.68E-06,5.61E-05,0.000659033,0.000145996,0.000190642,6.522222222,8.39E-05,6.527361111,0.000190075,,,,,,0.000174869,2.20E-05,0.000117643,,
130202421021,1,21,Atlanta Summer,30,2024,210,0.000580242,0.228506111,0.002178506,0.000339208,4.68E-06,7.04E-05,0.000867044,0.000241033,0.000314742,8.1905,0.000105389,8.199,0.000281569,,,,,,0.000259043,3.26E-05,0.000174271,,
133202421021,1,21,Atlanta Summer,33,2024,210,9.42E-06,0.001193161,1.45E-05,5.50E-06,4.68E-06,1.45E-05,5.78E-06,3.91E-06,5.11E-06,1.68585,2.17E-05,1.685988889,1.18E-05,,,,,,1.08E-05,1.37E-06,7.29E-06,,
135202421021,1,21,Atlanta Summer,35,2024,210,1.31E-05,0.002037347,4.01E-05,7.64E-06,4.68E-06,2.26E-05,1.60E-05,5.43E-06,7.09E-06,2.624988889,3.38E-05,2.625180556,1.75E-05,,,,,,1.61E-05,2.02E-06,1.08E-05,,
137202421021,1,21,Atlanta Summer,37,2024,210,1.68E-05,0.002998944,5.60E-05,9.79E-06,4.68E-06,2.91E-05,2.23E-05,6.96E-06,9.09E-06,3.381111111,4.35E-05,3.381361111,1.34E-05,,,,,,1.23E-05,1.55E-06,8.29E-06,,
138202421021,1,21,Atlanta Summer,38,2024,210,0.000133675,0.028157222,0.000800808,7.81E-05,4.68E-06,3.79E-05,0.000318722,5.55E-05,7.25E-05,4.408777778,5.67E-05,4.410722222,3.28E-05,,,,,,3.02E-05,3.80E-06,2.03E-05,,
139202421021,1,21,Atlanta Summer,39,2024,210,0.000194101,0.029710278,0.001192092,0.000113471,4.68E-06,5.05E-05,0.000474453,8.06E-05,0.000105286,5.872416667,7.56E-05,5.87525,6.91E-05,,,,,,6.35E-05,8.01E-06,4.27E-05,,
140202421021,1,21,Atlanta Summer,40,2024,210,0.000253777,0.0873175,0.001501422,0.000148358,4.68E-06,6.44E-05,0.000597567,0.000105419,0.000137656,7.485944444,9.63E-05,7.489638889,7.98E-05,,,,,,7.34E-05,9.25E-06,4.94E-05,,
1300202421021,1,21,Atlanta Summer,300,2024,210,3.86E-06,0.000862744,4.10E-06,2.26E-06,4.68E-06,7.43E-06,1.63E-06,1.60E-06,2.09E-06,0.863861111,1.11E-05,0.865311111,4.59E-06,,,,,,4.22E-06,5.32E-07,2.84E-06,,
1002024210021,1,21,Atlanta Summer,0,2024,2100,8.31E-06,0.000202857,1.85E-06,4.86E-06,4.68E-06,5.56E-06,7.37E-07,3.45E-06,4.51E-06,0.646586111,8.32E-06,0.646708333,5.23E-06,,,,,,4.81E-06,6.06E-07,3.24E-06,,
1012024210021,1,21,Atlanta Summer,1,2024,2100,2.12E-06,3.82E-05,3.56E-06,1.24E-06,4.68E-06,5.21E-06,1.42E-06,8.82E-07,1.15E-06,0.605488889,7.79E-06,0.605519444,4.51E-06,,,,,,4.15E-06,5.23E-07,2.79E-06,,
1112024210021,1,21,Atlanta Summer,11,2024,2100,6.55E-06,0.001219258,3.45E-06,3.83E-06,4.68E-06,7.97E-06,1.37E-06,2.72E-06,3.55E-06,0.926113889,1.19E-05,0.926208333,4.48E-06,,,,,,4.12E-06,5.19E-07,2.77E-06,,
1122024210021,1,21,Atlanta Summer,12,2024,2100,5.02E-06,0.001990539,5.26E-06,2.93E-06,4.68E-06,1.06E-05,2.09E-06,2.08E-06,2.72E-06,1.236011111,1.59E-05,1.236083333,4.71E-06,,,,,,4.34E-06,5.46E-07,2.92E-06,,
1132024210021,1,21,Atlanta Summer,13,2024,2100,9.48E-06,0.001835239,1.23E-05,5.54E-06,4.68E-06,1.42E-05,4.90E-06,3.94E-06,5.14E-06,1.652236111,2.13E-05,1.652375,6.68E-06,,,,,,6.14E-06,7.74E-07,4.13E-06,,
1142024210021,1,21,Atlanta Summer,14,2024,2100,1.29E-05,0.002633239,2.17E-05,7.54E-06,4.68E-06,1.77E-05,8.66E-06,5.36E-06,7.00E-06,2.061158333,2.65E-05,2.061347222,6.62E-06,,,,,,6.09E-06,7.68E-07,4.10E-06,,
