metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
100201521061,1,61,Atlanta Summer,0,2015,210,0.000385256,0.000609211,0.003767722,0.00022522,2.30E-05,4.48E-05,0.001499558,0.000160035,0.000208973,5.205138889,6.70E-05,5.21075,3.33E-05,,,,,,3.06E-05,2.74E-06,2.15E-05,,
101201521061,1,61,Atlanta Summer,1,2015,210,0.000301236,0.000958706,0.001462839,0.000176103,2.30E-05,2.23E-05,0.000582211,0.000125134,0.0001634,2.594244444,3.34E-05,2.598647222,3.63E-05,,,,,,3.34E-05,2.99E-06,2.34E-05,,
111201521061,1,61,Atlanta Summer,11,2015,210,0.000757711,0.001715067,0.001450428,0.000442958,2.30E-05,2.91E-05,0.000577269,0.000314753,0.000411006,3.388472222,4.36E-05,3.399527778,3.42E-05,,,,,,3.15E-05,2.82E-06,2.21E-05,,
112201521061,1,61,Atlanta Summer,12,2015,210,0.000781817,0.002025411,0.005892472,0.00045705,2.30E-05,8.20E-05,0.0023452,0.000324767,0.000424081,9.5385,0.000122734,9.549916667,7.31E-05,,,,,,6.73E-05,6.02E-06,4.72E-05,,
113201521061,1,61,Atlanta Summer,13,2015,210,0.000920653,0.002916,0.009553111,0.000538214,2.30E-05,0.000144694,0.003802139,0.000382439,0.000499389,16.82213889,0.000216455,16.83561111,0.000166189,,,,,,0.000152893,1.37E-05,0.000107162,,
114201521061,1,61,Atlanta Summer,14,2015,210,0.001013344,0.003480306,0.013036028,0.0005924,2.30E-05,0.000208534,0.005188333,0.000420944,0.000549667,24.24422222,0.000311956,24.25902778,0.000191973,,,,,,0.000176614,1.58E-05,0.000123788,,
115201521061,1,61,Atlanta Summer,15,2015,210,0.000861736,0.003835361,0.014782806,0.000503772,2.30E-05,0.000261861,0.005883556,0.000357967,0.000467431,30.44388889,0.00039173,30.45666667,0.000282442,,,,,,0.000259844,2.32E-05,0.000182123,,
116201521061,1,61,Atlanta Summer,16,2015,210,0.000898711,0.004561417,0.019181861,0.000525386,2.30E-05,0.000354619,0.007634389,0.000373325,0.000487489,41.22805556,0.000530493,41.24111111,0.000282442,,,,,,0.000259844,2.32E-05,0.000182123,,
121201521061,1,61,Atlanta Summer,21,2015,210,0.000690789,0.001602997,0.000901861,0.000403836,2.30E-05,2.33E-05,0.000358939,0.000286953,0.000374703,2.703433333,3.48E-05,2.713527778,4.23E-05,,,,,,3.89E-05,3.48E-06,2.73E-05,,
122201521061,1,61,Atlanta Summer,22,2015,210,0.000903728,0.003667,0.006506361,0.000528319,2.30E-05,0.000103647,0.002589528,0.000375408,0.000490208,12.04997222,0.00015505,12.06319444,0.000124491,,,,,,0.000114532,1.02E-05,8.03E-05,,
123201521061,1,61,Atlanta Summer,23,2015,210,0.000867958,0.004407944,0.009517333,0.000507408,2.30E-05,0.000168334,0.003787889,0.00036055,0.000470806,19.57052778,0.000251819,19.58322222,0.000155894,,,,,,0.000143422,1.28E-05,0.000100524,,
124201521061,1,61,Atlanta Summer,24,2015,210,0.000854294,0.00479175,0.013475972,0.000499419,2.30E-05,0.000240829,0.005363444,0.000354872,0.000463394,27.99888889,0.000360268,28.01138889,0.000246584,,,,,,0.000226857,2.03E-05,0.000159003,,
125201521061,1,61,Atlanta Summer,25,2015,210,0.000819194,0.005148278,0.016840583,0.0004789,2.30E-05,0.000307933,0.006702556,0.000340294,0.000444356,35.80027778,0.000460652,35.81222222,0.000358083,,,,,,0.000329436,2.95E-05,0.0002309,,
127201521061,1,61,Atlanta Summer,27,2015,210,0.000789664,0.004457583,0.022989861,0.000461639,2.30E-05,0.000417608,0.009149972,0.000328028,0.000428336,48.55138889,0.000624722,48.56277778,0.000464994,,,,,,0.000427794,3.83E-05,0.000299839,,
128201521061,1,61,Atlanta Summer,28,2015,210,0.000774406,0.004259,0.024962111,0.000452717,2.30E-05,0.00058465,0.009934917,0.000321689,0.000420061,67.97166667,0.000874609,67.98305556,0.000662183,,,,,,0.000609206,5.45E-05,0.000426989,,
129201521061,1,61,Atlanta Summer,29,2015,210,0.000995664,0.005475861,0.032094167,0.000582067,2.30E-05,0.000751694,0.012773472,0.0004136,0.000540078,87.39222222,0.001124498,87.40666667,0.000947547,,,,,,0.000871742,7.80E-05,0.000610997,,
130201521061,1,61,Atlanta Summer,30,2015,210,0.001216922,0.006692694,0.039226111,0.000711414,2.30E-05,0.000918736,0.015612,0.000505508,0.000660094,106.8125,0.001374385,106.8302778,0.001135167,,,,,,0.00104435,9.34E-05,0.000731978,,
133201521061,1,61,Atlanta Summer,33,2015,210,0.000908669,0.003891472,0.005506028,0.000531208,2.30E-05,9.12E-05,0.002191397,0.000377461,0.000492889,10.60647222,0.000136476,10.61975,9.39E-05,,,,,,8.64E-05,7.73E-06,6.06E-05,,
