metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
100201721021,1,21,Atlanta Summer,0,2017,210,1.54E-05,0.000332722,8.05E-06,9.01E-06,4.68E-06,7.54E-06,3.21E-06,6.40E-06,8.36E-06,0.876730556,1.13E-05,0.876958333,8.58E-06,,,,,,7.89E-06,9.95E-07,5.31E-06,,
101201721021,1,21,Atlanta Summer,1,2017,210,3.94E-06,6.26E-05,1.55E-05,2.30E-06,4.68E-06,7.06E-06,6.16E-06,1.64E-06,2.14E-06,0.821008333,1.06E-05,0.821063889,7.41E-06,,,,,,6.81E-06,8.59E-07,4.58E-06,,
111201721021,1,21,Atlanta Summer,11,2017,210,1.21E-05,0.001999806,1.50E-05,7.10E-06,4.68E-06,1.08E-05,5.97E-06,5.05E-06,6.59E-06,1.255752778,1.62E-05,1.255930556,7.35E-06,,,,,,6.76E-06,8.52E-07,4.55E-06,,
112201721021,1,21,Atlanta Summer,12,2017,210,9.31E-06,0.003264833,2.29E-05,5.44E-06,4.68E-06,1.44E-05,9.11E-06,3.87E-06,5.05E-06,1.675955556,2.16E-05,1.676091667,7.73E-06,,,,,,7.11E-06,8.96E-07,4.79E-06,,
113201721021,1,21,Atlanta Summer,13,2017,210,1.76E-05,0.003010139,5.36E-05,1.03E-05,4.68E-06,1.93E-05,2.13E-05,7.31E-06,9.54E-06,2.240333333,2.88E-05,2.240588889,1.10E-05,,,,,,1.01E-05,1.27E-06,6.78E-06,,
114201721021,1,21,Atlanta Summer,14,2017,210,2.39E-05,0.004319,9.46E-05,1.40E-05,4.68E-06,2.40E-05,3.77E-05,9.94E-06,1.30E-05,2.794805556,3.60E-05,2.795166667,1.09E-05,,,,,,9.99E-06,1.26E-06,6.72E-06,,
115201721021,1,21,Atlanta Summer,15,2017,210,3.34E-05,0.006262917,0.000167733,1.95E-05,4.68E-06,2.85E-05,6.68E-05,1.39E-05,1.81E-05,3.308611111,4.26E-05,3.309083333,1.05E-05,,,,,,9.61E-06,1.21E-06,6.47E-06,,
116201721021,1,21,Atlanta Summer,16,2017,210,5.33E-05,0.010567528,0.000349808,3.12E-05,4.68E-06,3.38E-05,0.000139224,2.21E-05,2.89E-05,3.932583333,5.06E-05,3.933361111,2.72E-05,,,,,,2.51E-05,3.16E-06,1.69E-05,,
121201721021,1,21,Atlanta Summer,21,2017,210,1.82E-05,0.002606497,2.97E-05,1.06E-05,4.68E-06,1.45E-05,1.18E-05,7.55E-06,9.86E-06,1.6895,2.17E-05,1.689766667,1.40E-05,,,,,,1.29E-05,1.63E-06,8.68E-06,,
122201721021,1,21,Atlanta Summer,22,2017,210,1.67E-05,0.003453472,4.82E-05,9.76E-06,4.68E-06,1.59E-05,1.92E-05,6.94E-06,9.06E-06,1.846466667,2.38E-05,1.846711111,1.87E-05,,,,,,1.72E-05,2.17E-06,1.16E-05,,
