HD-UDDS	OCTA	Manhattan	NYBC	NYCC	WMATA	Paris	ETC-Urban	SF	KCMC	Beeline	CSHVC	CBD (SAE)	WVU-5PEAK
9.53	0	11.5	0	3.72	0	9.6	16.2	5.9785	45.2	6.5	14.2	0	20
10.69	0	11.3	0	3.87	0	7.2	16.9	4.4766	45.7	3.9	13.5	0	20
11	0	11.5	0	5.59	0	5.2	17.4	3.3216	46.2	1.7	12.1	0	20
9	0.59	11.9	4.3	6	0	1.9	17.7	2.1667	46.7	0.6	9.9	2.1	20
9	2.37	11.2	9.1	4.19	0	0.6	18.2	1.0117	47.2	0.1	8.5	4.3	20
9.32	4.85	11	14.5	4.94	0	0	18.9	0.64453	47.7	0	7.7	6.5	20
10	7.09	11.1	15.7	4	0	0	19.6	0.27734	48.2	0.3	5.1	8.6	20
9.36	8.88	11.8	15.4	4.38	0	0	20	0.17383	48.7	1.1	3.7	10.7	20
9	10.35	12.7	14.3	6.61	0	0	19.9	0.070313	49.2	2.5	2.6	12.6	20
9.95	10.77	13.1	13.5	9.39	0	0	19.2	0.37891	49.7	4.5	2.2	14.5	20
14.33	9.25	12.4	14.1	10.85	0	0	17.9	0.6875	50.2	6.9	1.8	16.3	20
17.53	6.14	9.7	16	6.99	0	0	16.4	3.0176	50.7	9.3	1.1	18.1	20
19.42	3.74	6.2	15.8	6	0	0	14.8	5.3477	51.2	11.6	0.4	19.8	20
20	2.24	3.5	15.4	5.35	0	0	12.8	5.8659	51.7	13.6	1.1	20	20
20.74	1.28	1.1	14.5	3.52	0	0	10.6	6.3841	52.2	15.3	0.7	20	20
21	0.53	0.3	13.7	2.36	0	0	8.3	6.9023	52.7	17	1.1	20	20
21.11	0.13	0	13.8	3.59	0.9	0	6	8.0234	53.2	18.6	0.7	20	20
23.84	0	0	17	4.95	2.5	0	4	9.1445	53.7	20.2	0	20	20
27	0	0	20.8	3	4.9	0	2.4	10.4824	54.2	21.7	1.1	20	20
27	0	0	23.7	3	7.4	0	1.3	11.8203	54.7	23.2	2.6	20	20
29.05	0	0	27.2	2.15	10.1	0	0.6	12.1191	55.1	24.7	2.6	20	20
32.52	0	0	29.8	0.42	12.4	2	0.4	12.418	55	26.2	2.9	20	20
31.01	0	0	30.7	0	14.3	4.2	0.5	11.9883	55	27.6	2.2	20	20
31	0	0	30.6	0	15.5	5.1	0.6	11.5586	55	28.8	3.3	20	20
31.62	0	0	28.4	0	16.4	5.6	0.6	11.9395	55	30	4.7	20	20
33	0	0	26.9	0	16.9	5.8	0.4	12.3203	55	31	6.6	20	20
32.37	0	0	28.1	0	16.9	5.7	0.4	12.4941	55	31.7	8.4	20	20
30.43	0	0	29.5	0	16.5	5	0.3	12.668	55	32.4	10.6	20	20
30	0	0	30	0	15.8	4.9	0.4	11.6836	55	33	12.4	20	20
30	0	0	28	0	15	4.4	0.6	10.6992	55	33.5	13.9	20	20
30.51	0.3	0	26.2	0	14.2	4.1	1	9.2305	54	33.9	15.7	20	20
32.41	1.95	0	24.6	0	13.6	3.9	1.6	7.7617	54	34	16.8	17.1	20
33	5.05	0	20.3	0	13.4	3.8	2.7	4.8438	54	33.9	18.6	12.7	20
32.27	8.07	0	16.4	0	13.7	2	4.3	1.9258	54	33.5	19.7	8.2	20
32	10.95	0	13.7	0	14.3	2.6	6.2	1.2839	54	33.5	20.8	3.8	20
31.04	13.52	0	12.1	0	15.2	3.1	8.1	0.64193	54	33.5	22.3	0	20
32.2	15.81	1.6	8.2	0	16.3	3.1	9.7	0	53	33.4	23.4	0	20
33.36	17.83	3.5	5.3	0	17.6	2	11	0	53	33.5	24.8	0	20
34	17.84	5.4	3.2	0	18.9	1.5	12	0	53	33.5	25.9	0	20
34	15.86	8.1	1.7	0	19.9	1.7	12.8	0	53	33.5	26.7	0	20
34	13.43	11	0.2	0	20.6	0.9	13.4	0	52.8	32.9	27.8	0	20
33.01	10.92	14.3	0	0	21	1.5	13.9	0	52.6	31.7	28.1	0	20
31.86	8.66	16.7	0	0	21	1.5	14.5	0	52.5	29.3	28.9	0.7	20
30.1	6.7	18	0	0.95	20.5	0.6	15.3	0	52.3	26.8	29.2	3	20
26.17	4.61	19.1	0	0	19.4	2.1	16.2	0	52.1	24.2	30.3	5.2	20
23.39	3.01	21.1	0	0	17.5	3	16.9	0	52	21.8	30.3	7.4	19
21.46	2.02	22.8	0	0	14.9	4.5	17.2	0	51.8	20.3	31.1	9.5	17
17.28	1.29	23.4	0	0	12	6	16.9	0	51.7	20	31.1	11.5	16
15.83	0.56	23.8	0	0	9	9.1	16.4	0	51.5	20.1	31.1	13.4	15
13.76	0	22.4	0	0	6.1	9.8	15.8	0	51.3	20.7	31.4	15.3	13
12.6	0	20.7	0	0	3.8	10.9	14.9	0	51.2	21.7	31.4	17	12
10.33	0	18.9	0	0	2.2	11.7	14	0	51	23	31.8	18.8	11
8.28	0	16.2	0	0	1	12.8	13	0	50.8	24.1	31.8	20	9
5.38	0	14.6	0	0	0.3	13.7	11.9	0	50.5	25.1	31.8	20	8
2.91	0	13.1	0	0.78	0	14.1	11	0	50.3	25.7	32.2	20	7
